Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nano Tips for Using AI for Brand Storytelling with Ash Rathod,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ash Rathod offers tips on how to use AI tools for inspiration, productivity, and identifying with your audience as a storyteller. Learn about the human-AI creative balance, ethical AI storytelling pitfalls to avoid, crafting better AI prompts, and more.",Course,2025-01-20 22:25 UTC,N/A,false,N/A,
Agentic AI: Building Data-First AI Agents,"In this course, Senior Staff Instructor Morten Rand-Hendriksen and Microsoft Director of Data & AI Strategy Viroopax Mirji analyze the data challenges enterprises face when building AI agents. The course examines data quality, privacy, integration, and bias, with real-world examples from industries like healthcare and autonomous vehicles. The conversation covers best practices for data management, governance, and transitioning to an AI-driven future, ensuring transparency and accountability in AI systems.",Course,2025-07-20 02:17 UTC,N/A,false,N/A,
C# Practice: Interfaces and Abstract Classes,"<p>Test your object-oriented knowledge of C# in this edition of <i>Code Challenges</i>. Instructor and .NET developer Walt Ritscher presents five hands-on, intro-level challenges focused on abstract classes and interface implementation. Each challenge examines one aspect of these topics, and after you write the code to solve the challenge, check your work against Walt’s solution.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-03-12 01:05 UTC,N/A,false,N/A,
Trauma-Informed Design,"<p>If you want to upskill as a designer, you can’t overlook the importance of a trauma-informed approach. It can improve your design efforts and deliver more caring and less harmful digital experiences. In this course, you'll learn how the six trauma-informed principles can help you design more positive and supportive experiences for everyone. These ideas apply to websites, apps, online forms, and beyond.</p><p>Learn the fundamentals of trauma, including its pervasiveness, types, impacts, and warning signs. Discover practical ways to design products and services like online forms and research protocols that care for users, participants, and designers. Join instructors and researchers Melissa Eggleston and Carol Scott as they show you what it takes to become more trauma-informed. By the end of this course, you’ll have foundational ideas to improve your design efforts and create more equitable, ethical, and welcoming experiences for all.</p>",Course,2025-03-22 09:25 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks,"Apple Watch continues to evolve. In this course, Garrick Chow explores the features and capabilities of the latest Apple Watch OS, including Siri, the updated interface, and bundled app capabilities. Learn how to manage your Watch, including the haptic alert system, theater mode, and more. Discover ways you can communicate using your Apple Watch, as well as ways to view and work with apps. Get useful tips on using Siri, and learn about the variety of health and safety features that your Watch offers. Plus, find out how to take a screenshot, find your iPhone, force quit apps, and more.",Course,2025-04-16 21:49 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2022-03-21 12:13 UTC,N/A,false,N/A,
Hands-On AI: Building AI Agents with Model Context Protocol (MCP) and Agent2Agent (A2A),"This course introduces you to the Model Context Protocol (MCP) and Agent2Agent (A2A) communication frameworks essential for designing context-aware, collaborative AI agents. Explore MCP architectures, tools, and implementations, and learn how to build AI applications and agents that leverage rich contextual understanding. Additionally, instructor Kumaran Ponnambalam dives into A2A's structure, workflow, and practical applications, helping you gain hands-on experience with multi-agent ecosystems. Check out this course to gain the practical knowledge to design, implement, and execute intelligent, interconnected AI agents in real-world scenarios.",Course,2025-09-22 11:40 UTC,N/A,false,N/A,
Extending Laravel with First Party Packages,"<i>Extending Laravel with First-Party Packages</i> focuses on four packages built by the official Laravel team. These packages are reliable, since they are updated with each new Laravel release, and add functionality that you can pull in as needed, without adding unnecessary bloat.<br><br>

First, discover how to extend the native authentication system and add social sign-on capabilities with Laravel Socialite. Then learn how to implement efficient search indexing and enable live search results with Laravel Scout. Next, find out how to handle payments and subscriptions, including free trials, with Laravel Cashier, and implement broadcasting and live updates—without refreshing the page—using Echo. By the end of the course, you will know how to install, configure, and leverage these packages for all of your Laravel app development needs.<br><br>

Note: This course was created and produced by Packt Publishing.",Course,2018-12-09 14:03 UTC,N/A,false,N/A,
Integrating Generative AI into the Creative Process,"<p>For creatives, artificial intelligence can’t do your job for you—nor should you want it to. However, proper use of AI can help you jumpstart your creative processive and boost your productivity. In this course, Dave Birss shows you how you can use AI to develop your creative skills, from enhancing your creativity and visualization skills to improving your writing. Then, learn how AI can inspire your work by providing better ingredients for fresh ideas. He also explains how to use AI to spark your imagination, as well as practical uses of AI that can help you implement your ideas. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/human-skills-in-the-age-of-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-09-13 19:17 UTC,N/A,false,N/A,
LinkedIn Recruiter: AI-Powered Talent Acquisition,"<p>Unleash the power of AI in LinkedIn Recruiter and hone the skills you need to harness cutting-edge artificial intelligence features for more efficient and effective recruiting.
This short course explores the latest AI capabilities within LinkedIn Recruiter, empowering talent acquisition professionals to utilize artificial intelligence for more efficient and effective recruiting. From AI-assisted searches to optimizing communications and managing projects, learn how to leverage the full potential of AI-driven features in LinkedIn Recruiter to streamline your hiring process and find the best candidates.</p><p>The AI features in LinkedIn Recruiter are designed with fairness measures and privacy safeguards, using structured search parameters that don't enable filtering by protected characteristics. For detailed information about AI compliance, data usage, and privacy policies, please refer to the <a href=""https://www.linkedin.com/help/recruiter/answer/a1660341"" target=""_blank"">AI-Assisted Search and Projects in Recruiter FAQ</a> page.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/linkedin-recruiter-and-ai-driven-talent-acquisition-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-04-19 23:14 UTC,N/A,false,N/A,
Agentic AI Business Strategy: A Conversation with Charlene Li,"In the fast-evolving world of AI, autonomous agents are reshaping business innovation, decision-making, and leadership. In this interview-driven course, AI thought leader  Charlene Li explores the world of agentic AI—AI agents capable of autonomous, adaptive actions. Gain insights into implementing AI solutions aligned with strategic goals, overcoming challenges like executive hesitation, and building trust. This course is perfect for leaders and business strategists ready to thrive in the age of intelligent agents.",Course,2025-08-15 17:39 UTC,N/A,false,N/A,
Responding to Unreasonable Customer Demands,"<p>Looking to improve your customer service skills? In this course, customer service expert Vince Lopiccola teaches essential strategies to handle unreasonable customer demands effectively. Learn how to maintain professionalism when navigating difficult customer interactions using de-escalation techniques, active listening, and boundary setting. By the end of this course, you'll be prepared to utilize practical strategies to enhance customer satisfaction and maintain composure in challenging situations.</p>
<p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p>                  
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" />",Course,2025-02-09 22:49 UTC,2025-02-09 19:41 UTC,false,N/A,
Reid Hoffman and Chris Yeh on Blitzscaling,"Blitzscaling is a growth strategy that prioritizes speed over efficiency in the face of uncertainty. Those bold enough to adopt it must break free from the confines of business school logic to take uncalculated risks that could just as easily lead to abject failure as rapid-fire growth. In this course, LinkedIn founder Reid Hoffman and entrepreneur Chris Yeh break down when and how entrepreneurs and other business leaders should leverage this tactic to get ahead. Reid and Chris—who literally wrote the book on this topic in 2018's <i>Blitzscaling</i>— explain how, despite the potential pitfalls, blitzscaling practices are often the key to scaling massive companies. They share examples of successful blitzscaling, explain how to blitzscale within a larger organization, and more.",Course,2021-10-09 13:31 UTC,N/A,false,N/A,
Build AI Agents and Automate Workflows with n8n,"Use n8n - the open source workflow automation tool - to build advanced custom AI-powered business-process automations connecting your existing tools together to create AI agents that simplify your work. Choose n8n as a cloud app, mount it on prem, or run it locally on your computer for full control. Learn how to build an advanced AI agent that connects with external sources like Google Sheets and Slack to perform data processing and management based on natural language inputs. Create, share, and test out automation flows with your team and the n8n community.",Course,2025-09-26 11:53 UTC,N/A,false,N/A,
How to Use Generative AI: Building an AI-First Mindset,"<p>Creating real impact with AI means understanding what generative AI is capable of today—and using that knowledge to stay ahead of future developments. Regardless of your industry, role, and experience, AI can transform your personal and professional development. If you want to learn how to unlock your full potential with AI, this course is for you.
</p><p>
In this course, AI thought leader, advisor, and investor Allie K. Miller provides her insights and guidance on how to thrive in the AI age. She shares real-world examples of generative AI tools in action, as well as her most-used framework to leverage AI to generate added value. Learn how to seamlessly integrate AI into your workflows, enhancing both individual and team productivity. Get the knowledge and tools to use AI for strategic planning, decision-making, and creative problem-solving. By adopting an AI-first mindset, you’ll be better prepared to future-proof your career and lead AI-driven transformations within your organization.",Course,2025-09-12 01:52 UTC,N/A,false,N/A,
A Playbook to Achieve Equity Anywhere,"""Equity"" is a definable goal, and you can measure your efforts quantitatively and qualitatively measured against it. In this course, DEI strategist and bestselling author Lily Zheng helps you get motivated to take equity-related learning seriously and primes you to think in terms of pragmatism and accountability. Review foundational concepts like equity for healthy workplaces, targeted universalism, and how inequity manifests itself in the workplace. Learn how to assess your outcomes, uncover the why behind equity gaps, and prepare for change-making efforts. Explore effective ways to intervene intentionally. Plus, find out how to measure the impact of your equity efforts, celebrate progress, and continue your forward momentum.",Course,2025-03-16 22:43 UTC,N/A,false,N/A,
Nano Tips to Boost Productivity with Shadé Zahrai,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai teaches tips for increasing your productivity. Shadé shows you techniques to help you start your tasks more efficiently and provides strategies to help you maintain your focus. She also shares some essential productivity principles to help you recalibrate your mindset and boost your productivity.",Course,2025-08-22 18:46 UTC,N/A,false,N/A,
Translating Cybersecurity for SMBs - Using the NIST Cybersecurity Framework 2.0,"Cybersecurity can often be an intimidating topic for SMBs. In this course, EVP and cybersecurity engineer Kelly Hood puts cybersecurity into context and leverages the NIST Cybersecurity Framework to establish a foundation for organizing capabilities and goals to make sure you’re focused on what matters most. Kelly breaks down complex cyber topics and guides you through examples of how you, as a SMB, can secure your organization today. She frames this training around the recently updated NIST Cybersecurity Framework 2.0 to ensure that you will be prepared to communicate with business leaders within your organization, as well as external partners that have a stake in your cybersecurity.",Course,2025-06-21 11:08 UTC,N/A,false,N/A,
Learning Ansible,"Ansible is a popular open-source tool that provides automation, configuration management, and orchestration all in one. In this course, instructor Greg Sowell introduces Ansible and explains the many reasons that system administrators and DevOps engineers choose to keep Ansible in their IT tool kit. Learn how to install Ansible in different environments and work with hosts, variables, inventories, and playbooks. Practice your new deployment and playbook writing skills with the exercise challenges at the end of each section. Along the way, Greg reviews various use cases and practical examples to highlight how Ansible can solve a variety of real-world problems more effectively and efficiently.",Course,2025-03-23 22:59 UTC,N/A,false,N/A,
Skills to Build Stronger Work Relationships,"<p>In the world of hybrid work, uncertainty, and constant change, people need healthy work relationships to feel supported and show up as their best selves, This course teaches essential skills to build and maintain more resilient relationships.
Dr. Emily Anhalt teaches essential tools and skills, including: taking ownership of your part, strategies to build empathy, ways to create a more positive and safe working environment, ways to move from reactive to proactive, how to have healthy conflict, getting on the same team, expressing yourself more effectively, and breaking an emotional sweat every day.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/becoming-a-manager-professional-certificate-by-linkedin-learning"" >Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-07-10 10:51 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483198,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483198,Course,2022-11-24 00:29 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-11-13 01:17 UTC,N/A,false,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2025-07-28 23:44 UTC,N/A,false,N/A,
Drawing Vector Graphics: Hand Lettering,"Typography and lettering are distinct yet intimately interwoven art forms. While typography relies on established fonts, lettering relies on the hand of an artist. However, since hand lettering, like typography, is usually destined for print or the web, it's critical for illustrators to be able to transform their letterform drawings into pristine vector graphics. In this installment of <em>Drawing Vector Graphics</em>, Von Glitschka takes members through the entire creative process of hand lettering: starting with analog drawing tools, then using Adobe Illustrator to turn his drawings into vector graphics that can be further customized and scaled up or down. Von also introduces styling tips to create more compelling graphics and examples from some of the industry's best artists.",Course,2025-03-03 22:36 UTC,N/A,false,N/A,
Building Agentic AI Systems,"This course provides knowledge on how to design agentic AI systems, a rapidly evolving field that focuses on AI systems capable of autonomous decision-making and adaptive learning. Instructor Rashim Mogha shares insights into the tools, frameworks, and reference architectures. By the end of the course, with the help of a use case and project, you should have a comprehensive understanding of how to develop agentic AI systems that transform operations, unlock new opportunities, and shape the future of intelligent collaboration.",Course,2025-09-27 12:55 UTC,N/A,false,N/A,
Breaking Free From Micromanagement,"<p>Strong leadership skills are foundational to a successful career—regardless of your role. An effective leadership approach is key for your team to reach its full potential. In this course, leadership professor Dr. Julia Milner from EDHEC Business School shares practical wisdom to help leaders recognize, handle, and prevent micromanaging in the workplace. Dr. Julia Milner is a renowned leadership expert with extensive experience in coaching and developing leaders. Find out how to recognize the underlying need for control and anxiety that often drives micromanaging behavior. Delve into the negative impacts of being micromanaged on mental health and productivity. Get started with universal principles such as recognizing micromanaging tendencies and developing strategies to prevent them. Explore techniques for handling micromanaging behavior effectively and promoting a healthier work environment. Plus, discover ways to create a supportive team culture that fosters trust and autonomy. </p>

<p>This course was created by Morra Aarons-Mele. We are pleased to host this training in our library.</p>",Course,2025-04-07 21:39 UTC,N/A,false,N/A,
Demystifying ChatGPT and Generative AI: What Every Professional Needs to Know,"Unlock the secrets of AI in this course with instructor Jules White. This course breaks down complex AI concepts into simple, easy-to-understand lessons, making generative AI accessible to everyone. Learn how to effectively integrate ChatGPT into your professional toolkit, boosting productivity, creativity, and innovation. Business leaders will gain strategic insights to effectively innovate and drive their organizations forward. Whether you're new to AI or looking to enhance your understanding, this course provides the essential knowledge and skills you need to stay ahead in the evolving digital landscape.",Course,2025-02-21 13:30 UTC,N/A,false,N/A,
Building a Generative AI Music Visualizer with JavaScript and React,"In this course, learn how artificial intelligence technologies generate and manipulate visual content, enabling innovative applications in digital art and design. This knowledge empowers creators to leverage AI in crafting visuals, revolutionizing the fields of graphic design, entertainment, and media production. Instructor Eve Porcello takes you through the entire process of creating a generative AI music visualizer, from setting up a React application with Next.js, to using the ml5 library to incorporate AI functionalities, to enhancing your app with effects and color changing characteristics.",Course,2025-09-19 11:57 UTC,N/A,false,N/A,
Building a Superstar Brand,"Ever wondered what it takes to create your own brand and become a superstar along the way? Explore the value of storytelling, vision, and commitment in this course with World Wrestling Entertainment (WWE) chief brand officer Stephanie McMahon, as she shows you how to lead by example and leave a legacy in your wake. Learn key lessons from Stephanie’s hard-earned experiences and colorful tales of growing up in an entrepreneurial culture. The course shares valuable lessons on how to scale superstar partnerships, create a rich DEI culture, and build powerful fan relationships. Discover proven leadership strategies and tips that you can apply to your own venture or job. Throughout the course, Stephanie looks back on the sacrifices her parents made back when they were first promoting the WWE, growing it from nothing to superpower status, and inspiring millions around the world.<br><br>Note: This course was created by genconnectU. We are pleased to host this training in our library.",Course,2023-04-23 13:53 UTC,N/A,false,N/A,
Postman Essential Training,"<p><b>Suggested prerequisites</b></p>
<ul>
<li>A basic understanding of the command line</li>
<li>A basic understanding of HTTP requests</li>
</ul>
<p><b>Projects</b></p>
<ul>
<li>Add variables to the URL and body of a request.</li>
<li>Write your own status, header, and body assertions for a Postman request.</li>
<li>Write assertions for complicated JSON responses, including responses in arrays and in nested objects.</li>
</ul>
<p>This course introduces the process of writing, running, and automating API tests with Postman. Instructor Kristin Jackvony explains what to test in an API endpoint, along with how to use authentication tokens in an API call, write good assertions, create test collections, and how to run the test collections from the command line.</p>",Course,2025-06-04 21:38 UTC,N/A,false,N/A,
Nano Tips for Understanding Your Analytics with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join award-winning leadership strategist and peak performance specialist Shadé Zahrai as she shares practical, actionable advice on leveraging the power of LinkedIn Analytics.</p><p>Learn how to use LinkedIn Analytics to develop data-driven strategies to analyze audience trends, refine messaging, and optimize content, ensuring impactful engagement and meaningful connections with your followers. Shadé shows you how and why applying data-driven insights can let you more effectively plan future posts, troubleshoot underperforming content, build lasting relationships with your audience, and more. By the end of this course, you’ll be prepared to create with more intentionality, instead of just chasing virality or feeling like analytics is guesswork.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-09-15 13:49 UTC,N/A,false,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2025-04-02 22:38 UTC,N/A,false,N/A,
Logo Design: Visual Effects,"Many times, a designer will have a concept for a logo, such as a bird in flight, but struggle with how to communicate that rather simple idea in a new and dynamic way. Bill Gardner, founder of LogoLounge, has been looking at, tracking, and writing about logo design styles for over thirty years. In this course he will walk members through six different visual effects that will help communicate your ideas more effectively. You'll learn how transparency can communicate a promise of clarity, how texture and light tell stories, and how three-dimensional shapes make your ideas almost touchable. Incorporate these effects into your designs and turn ""nice"" logos into ones that capture the hearts and imaginations of clients and their customers.",Course,2025-04-06 19:15 UTC,N/A,false,N/A,
OpenAI API: Agents,"AI agents generate plans and perform complex multi-step tasks based on the user input. The OpenAI API provides comprehensive support for building AI agents that use models, tools, knowledge and memory, audio and speech, guardrails, orchestration, and MCP that can be customized to fit specific needs and scenarios. This course explores how to develop advanced agents with the OpenAI API and the Agents Python SDK. Through videos, articles, and hands-on practice in GitHub Codespaces, you’ll define custom agents, set up agent runners, configure handoffs so agents can work together, add guardrails for content moderation, and extend the agents with off-the-shelf OpenAI features, custom functions, and MCP (Model Context Protocol) servers.",Course,2025-08-06 00:52 UTC,N/A,false,N/A,
Nano Tips to Stop Overthinking with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, unlock the secrets of living your life without the burden of overthinking, using key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Learn how to stop picking apart or criticizing everything you say and do. Discover practical strategies to develop a mindset that doesn’t prevent you from achieving your goals. Find out more about how overthinking can be so detrimental to your career, your relationships, and your personal and professional life. Along the way, Shadé shows you how to gear yourself up for more positive thinking to move from worry to action with ease.",Course,2025-08-03 16:24 UTC,N/A,false,N/A,
Photoshop One-on-One: Mastery,"Discover how to be the best Photoshop user you know with reigning expert Deke McClelland. In this final installment of his comprehensive three-part <i>One-on-One</i> series, Deke explains how Photoshop works at its highest level. Get around Photoshop more quickly by loading dozens of new and revised keyboard shortcuts. Experience the power of Smart Filters, dynamic effects, and such seemingly mundane (but secretly awesome) topics as blur and noise. Discover how to mask images with the Calculations command, and manipulate paths with the Pen tool. Learn how to assemble 360° panoramas and work with such exotic features as layer comps, artboards, and actions. Leave each chapter with a sense of real accomplishment that you can apply to your own marketable, eye-popping artwork.",Course,2024-08-26 02:50 UTC,N/A,false,N/A,
Nano Tips for Effective Sponsorship as a Leader with India Gary-Martin,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, India Gary-Martin offers tips and considerations when becoming a sponsor in leadership. Learn best practices for becoming a sponsor, how to give and receive the most benefit from sponsorship, and more.",Course,2025-08-14 01:14 UTC,N/A,false,N/A,
Nano Tips for Interpersonal Communication with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies Shadé Zahrai shares tips for improving interpersonal communication skills. Shadé explains the importance of choosing words that foster collaboration, shows how you can transform your communication with positive reinforcement, describes the biggest conversation buzzkill, and more.",Course,2025-08-12 11:18 UTC,N/A,false,N/A,
Nano Tips for Smarter Learning and Better Relationships with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shares tips and strategies for building continuous growth—both personal and formulaic—that will enhance your ability to interact with people and strengthen relationships.",Course,2025-04-02 03:07 UTC,N/A,false,N/A,
Body Language for Leaders (2015),"Research shows that when your verbal and nonverbal signals are out of alignment, people are forced to choose between what they hear and what they see. And subconsciously, they'll believe your body language. In this course, workplace body-language expert Carol Kinsey Goman, PhD, reveals how body language is perceived and often misread, and shares the six nonverbal signals you need to know to make a positive first impression. She also discusses the importance of body language for leaders, and shows how you can establish leadership presence. Lastly, she provides simple and effective tips on communicating with gestures and stance.",Course,2017-07-17 18:36 UTC,N/A,false,N/A,
How to Reduce the Obstacles of Ageism While Job Searching,"<p>Ageism is a common obstacle for job seekers on both sides of the age spectrum. Young and old alike often face crushing odds. And yet, it's even more difficult for older job seekers because of conscious and unconscious biases held by decision-makers in positions of power. While it shouldn't be the exclusive responsibility of older job seekers to overcome ageism while looking for work, there are steps that you can take to minimize the obstacles and make the process less challenging—and more rewarding—along the way.</p><p>Join <i>Yahoo Finance</i>'s Kerry Hannon, a well-known author on aging and retirement, as she sits down to talk with LinkedIn News Editor Andrew Seaman on the podcast <i>Get Hired</i>. Gather tips and insights from Kerry to help you overcome the professional hurdles presented by ageism, including strategies for approaching today’s ever-evolving job market, developing the right mindset, navigating the interview process, and more.</p>",Course,2025-04-14 23:55 UTC,N/A,false,N/A,
Leading with Generative AI: Master Change Management for Success,"Master the integration of generative AI within organizational change management in this comprehensive course designed for business leaders and transformation specialists. Through 15 focused modules, instructors Christopher White and Bob Higgins offer insights on how to navigate the unique challenges of implementing AI technologies while maintaining organizational stability and growth. This course introduces the innovative FASTER framework, a structured approach specifically designed for AI-driven transformations. Along the way, explore the historical context of AI compared to past technological innovations, strategic approaches to workforce adaptation and development, practical implementations of the FASTER framework for AI integration, methods for building organizational readiness and acceptance, techniques for sustainable change management in the age of AI, and strategies for measuring and replicating transformation success.",Course,2025-01-24 11:26 UTC,N/A,false,N/A,
The Practicing Photographer,"<p>In <i>The Practicing Photographer</i>, photographer and teacher Ben Long shares a weekly serving of photographic instruction and inspiration. Each installment focuses on a photographic shooting scenario, a piece of gear, or a software technique. Each one concludes with a call to action designed to inspire you to pick up your camera (or your mouse or smartphone) to try the technique for yourself.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2025-02-22 13:09 UTC,N/A,false,N/A,
Nano Tips for More Effective Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shares quick tips for running more productive meetings. Shadé explains how to optimize meeting dynamics, maximize individual contributions, and strategically structure meetings for peak performance. Plus, learn how to continuously rate and improve your meetings.",Course,2025-08-01 23:20 UTC,N/A,false,N/A,
Model Context Protocol (MCP): Hands-On with Agentic AI,"The Model Context Protocol (MCP) allows developers to add agent behavior to LLMs by providing a universal protocol providing context to language models so they can interface with data and applications in a consistent way. MCP servers expose resources (data), tools (actions), and prompts (instructions) for the LLM and the user to use in performing more complex operations. In this course you’ll explore how the MCP works in Claude Desktop to extend its functionality, and you’ll build your own MCP servers using Python and TypeScript to give LLMs new capabilities to do things on the computer, connect with external APIs, and perform advanced multi-step actions.",Course,2025-09-04 12:14 UTC,N/A,false,N/A,
GitHub Actions Cert Prep by Microsoft Press,"GitHub Actions makes it easy to automate all your software workflows with world-class CI/CD. Build, test, and deploy your code right from GitHub. This course with instructor Tim Warner imparts the necessary skills and knowledge to understand how your customers can use GitHub Actions to automate their software development workflows. Whether you are a seasoned GitHub Actions user or someone who wants to deeply learn the most important aspects of GitHub Actions, this course is for you. Learn how to author and maintain workflows, consume workflows, author and maintain actions, and manage GitHub actions for the enterprise.",Course,2024-04-03 21:58 UTC,N/A,false,N/A,
What to Do When Your Boss Isn't Advocating for You,"<p>Learn why even good bosses fail to champion their talented employees—and what to do about it. Dr. Nicholas Pearce reveals the surprising reasons managers undermine advancement and provides practical solutions to overcome this challenge. </p>

<p>Dr. Nicholas Pearce is an award-winning professor of organizational behavior at Northwestern University’s Kellogg School of Management. He’s also the founder of The Vocati Group and author of <i>The Purpose Path</i>. </p>

<p>Discover three clear signs that indicate whether your boss is advocating for you. Learn how to transform your manager into a true sponsor and where to find support if they won't step up. Plus, gain powerful reframes that turn rejection into redirection and help you rise above feeling stuck in your career. </p>

<p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%"" />",Course,2025-03-17 17:21 UTC,N/A,false,N/A,
How Blockchains Will Change Business,"Blockchains are poised to disrupt entrenched industries and shatter conventional business models. Train your brain to see the opportunities and challenges of this next wave of digital change, before the way we do business is again reshaped by new technology. This jargon-free course can help you get up to speed. Join Alison McCauley, the best-selling author of <i>Unblocked: How Blockchains Will Change Your Business (and What to Do about It)</i>, as she goes over what blockchains offer companies, as well as how this technology will impact everything from finance to HR.<br><br>Alison begins by explaining what blockchains accomplish, how they make it safer for everyone to work together, and where they do—and do not—deliver value. Then, she details the new tools that blockchains offer business, including how they can help you discern what's real from what's false in your digital world. Plus, learn how blockchains can impact different departments within your business, from finance to HR.",Course,2022-02-01 23:30 UTC,N/A,false,N/A,
Angular: Routing,"Angular routing allows you to define both the navigation and the modular structure of your application. This training course provides the skills you need to design and build real-world applications using Angular 4 routing. Instructor Greg Bardwell covers setting up and configuring routes, passing data via parameters, protecting routes with authorization, and nesting or child routing. Plus, learn valuable application design strategies such as route guards, modularization, and lazy loading.",Course,2019-11-18 10:26 UTC,N/A,false,N/A,
